DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190326475,3/1/2020 0:00,3/1/2020 0:00,2130,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,2/9/2020 0:00,2/8/2020 0:00,1800,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 0:00,11/4/2020 0:00,1700,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,5/10/2023 0:00,3/10/2020 0:00,2037,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
200412582,9/9/2020 0:00,9/9/2020 0:00,630,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
200209713,5/3/2020 0:00,5/2/2020 0:00,1800,2,Rampart,245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2500 W  4TH                          ST,,34.0642,-118.2771
200200759,7/7/2020 0:00,7/7/2020 0:00,1340,2,Rampart,265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648,998,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788
201308739,3/27/2020 0:00,3/27/2020 0:00,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3200 S  SAN PEDRO                    ST,,34.017,-118.2643
201112065,7/31/2020 0:00,7/30/2020 0:00,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974
200121929,12/4/2020 0:00,12/3/2020 0:00,2300,1,Central,105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400    SOLANO                       AV,,34.071,-118.2302
201215394,6/26/2020 0:00,6/25/2020 0:00,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLORENCE,WADSWORTH,33.9747,-118.2587
200406391,3/2/2020 0:00,3/1/2020 0:00,1430,4,Hollenbeck,407,1,310,BURGLARY,0344 1607,27,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,4500    HUNTINGTON DR,,34.0881,-118.1877
200114396,7/6/2020 0:00,7/4/2020 0:00,100,1,Central,157,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,CROCKER,34.0423,-118.2453
200912561,7/20/2020 0:00,7/20/2020 0:00,700,9,Van Nuys,937,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BESSEMER,RANCHITO,34.1812,-118.4356
200207955,3/19/2020 0:00,3/19/2020 0:00,130,2,Rampart,236,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    MIRAMAR                      ST,,34.0632,-118.2693
200112598,6/1/2020 0:00,5/30/2020 0:00,30,1,Central,153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310,,,,600 S  BROADWAY,,34.0467,-118.252
200905707,2/8/2020 0:00,2/7/2020 0:00,2000,9,Van Nuys,939,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,AETNA,ATOLL,34.1803,-118.4204
200215463,9/26/2020 0:00,9/25/2020 0:00,1900,2,Rampart,237,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 W  COURT                        ST,,34.0668,-118.2627
200308100,3/7/2020 0:00,3/6/2020 0:00,2200,3,Southwest,317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,24TH,34.0344,-118.2915
200606074,2/12/2020 0:00,2/7/2020 0:00,1615,6,Hollywood,646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805,998,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337
200517540,12/7/2020 0:00,11/30/2020 0:00,2255,5,Harbor,541,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400    BRETT                        PL,,33.7553,-118.3056
200506977,3/10/2020 0:00,2/22/2020 0:00,30,5,Harbor,511,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1600 W  PACIFIC COAST                HY,,33.7926,-118.3043
201110303,6/11/2020 0:00,6/8/2020 0:00,2000,11,Northeast,1118,1,310,BURGLARY,0344 1607,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,100    AVENUE 56,,34.1089,-118.1942
201000767,7/14/2020 0:00,7/13/2020 0:00,2000,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330,998,,,18600    HATTERAS                     ST,,34.1774,-118.5387
200510354,6/8/2020 0:00,6/8/2020 0:00,330,5,Harbor,587,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2900 S  KERCKHOFF                    AV,,33.7179,-118.2898
200410136,6/24/2020 0:00,6/24/2020 0:00,700,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 E  AVENUE 31,,34.0809,-118.2132
200814461,9/24/2020 0:00,9/24/2020 0:00,1710,8,West LA,898,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ROBERTSON                    BL,GIBSON                       ST,34.0375,-118.3886
201215562,6/29/2020 0:00,6/29/2020 0:00,730,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,81ST,DENKER,33.9655,-118.3046
200210168,5/14/2020 0:00,5/12/2020 0:00,2100,2,Rampart,266,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  UNION                        AV,,34.0531,-118.2738
200714301,9/27/2020 0:00,9/22/2020 0:00,1430,7,Wilshire,702,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  FULLER                       AV,,34.0853,-118.3499
200906009,2/14/2020 0:00,2/13/2020 0:00,2230,9,Van Nuys,914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998,,,SEPULVEDA,BASSETT,34.1958,-118.4662
200218448,12/11/2020 0:00,12/10/2020 0:00,2000,2,Rampart,271,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819
200618540,11/27/2020 0:00,11/27/2020 0:00,950,6,Hollywood,642,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ORANGE,SUNSET,34.0981,-118.3577
200316510,8/30/2020 0:00,8/29/2020 0:00,2050,3,Southwest,333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,JEFFERSON,HARCOURT,34.0278,-118.3378
200504009,1/1/2020 0:00,1/1/2020 0:00,2100,5,Harbor,526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,G,ISLAND,33.7783,-118.2662
200808682,4/25/2020 0:00,4/21/2020 0:00,1400,8,West LA,858,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8800 W  PICO                         BL,,34.0548,-118.3837
200810737,6/17/2020 0:00,6/16/2020 0:00,1600,8,West LA,829,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300    WOODRUFF                     AV,,34.0633,-118.4292
201116973,12/26/2020 0:00,12/26/2020 0:00,332,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 51,,34.1038,-118.1987
200510994,6/25/2020 0:00,6/25/2020 0:00,230,5,Harbor,563,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,14TH                         ST,PACIFIC                      AV,33.7315,-118.2879
201107590,3/22/2020 0:00,3/21/2020 0:00,2000,11,Northeast,1137,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 N  AVENUE 50,,34.1109,-118.2016
200119680,10/19/2020 0:00,10/18/2020 0:00,1800,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,6/27/2020 0:00,6/27/2020 0:00,400,4,Hollenbeck,471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
200412621,9/10/2020 0:00,9/9/2020 0:00,1800,4,Hollenbeck,467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,3/4/2020 0:00,3/2/2020 0:00,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200111627,5/12/2020 0:00,5/10/2020 0:00,2200,1,Central,111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998,,,700 N  HILL                         PL,,34.0618,-118.2424
200109800,3/29/2020 0:00,3/29/2020 0:00,930,1,Central,163,1,330,BURGLARY FROM VEHICLE,1307 1822 0377 0329 1414 1609 0344,0,M,W,103,ALLEY,,,IC,Invest Cont,330,,,,9TH,MAIN,34.0416,-118.255
201225656,12/2/2020 0:00,12/2/2020 0:00,2245,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,SAN PEDRO,85TH                         ST,33.961,-118.2695
200309451,4/4/2020 0:00,4/4/2020 0:00,1210,3,Southwest,361,1,310,BURGLARY,0329 0325 0344 1601,19,X,X,301,GAS STATION,,,IC,Invest Cont,310,,,,3700 S  LA BREA                      AV,,34.0199,-118.3556
200211094,6/8/2020 0:00,6/6/2020 0:00,1200,2,Rampart,237,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1309 0601,0,X,X,247,CAR WASH,,,IC,Invest Cont,341,,,,1600 W  TEMPLE                       ST,,34.0682,-118.2609
201212036,5/2/2020 0:00,5/1/2020 0:00,2330,12,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0411,28,F,B,501,SINGLE FAMILY DWELLING,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,100 E  82ND                         ST,,33.9654,-118.2739
200914517,9/10/2020 0:00,9/9/2020 0:00,1735,9,Van Nuys,909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,354,,,,13600    LEADWELL                     ST,,34.2039,-118.4312
200105246,1/18/2020 0:00,1/18/2020 0:00,940,1,Central,118,2,624,BATTERY - SIMPLE ASSAULT,0913 0400,42,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,200 E  BLOOM                        ST,,34.0639,-118.2295
201106067,2/15/2020 0:00,2/15/2020 0:00,1830,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,2700 N  VERMONT                      AV,,34.1179,-118.293
201116118,11/27/2020 0:00,11/23/2020 0:00,1200,11,Northeast,1141,2,354,THEFT OF IDENTITY,0930 1822,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2000 N  VERMONT                      AV,,34.1095,-118.2958
200716724,12/4/2020 0:00,12/3/2020 0:00,811,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,8400    BEVERLY                      BL,,34.0761,-118.3737
200217442,11/15/2020 0:00,11/15/2020 0:00,310,2,Rampart,218,1,310,BURGLARY,1822 1609 0329 0344 0352,36,M,W,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1500 W  SUNSET                       BL,,34.0758,-118.2552
200914052,8/27/2020 0:00,8/27/2020 0:00,1255,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,444,57,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,14100    SYLVAN                       ST,,34.1847,-118.44
200810920,6/20/2020 0:00,6/20/2020 0:00,1000,8,West LA,841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,12100    SANTA MONICA                 BL,,34.0423,-118.4656
201112187,8/4/2020 0:00,7/16/2020 0:00,1900,11,Northeast,1144,2,662,"BUNCO, GRAND THEFT",0701 0913 0361,51,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,2100    HYPERION                     AV,,34.099,-118.2738
201212259,5/5/2020 0:00,5/5/2020 0:00,932,12,77th Street,1239,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0315 0325 0344 0324,0,X,X,402,MARKET,,,IC,Invest Cont,343,,,,5900 S  FIGUEROA                     ST,,33.9874,-118.2827
200918185,12/7/2020 0:00,12/7/2020 0:00,1203,9,Van Nuys,935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,900,,,,6200    SYLMAR                       AV,,34.1837,-118.4465
200105289,1/19/2020 0:00,1/16/2020 0:00,1700,1,Central,119,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,400    BAUCHET                      ST,,34.0587,-118.233
200516527,11/12/2020 0:00,11/12/2020 0:00,430,5,Harbor,508,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,23400    PRESIDENT                    AV,,33.8129,-118.3071
200609101,4/15/2020 0:00,4/12/2020 0:00,1300,6,Hollywood,648,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AO,Adult Other,510,,,,5700    HOLLYWOOD                    BL,,34.1017,-118.3136
201210786,4/11/2020 0:00,4/11/2020 0:00,2035,12,77th Street,1259,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2024 0445 0411 1218 2033,26,F,B,103,ALLEY,215,MACHETE,IC,Invest Cont,230,,,,74TH                         ST,AVALON,33.973,-118.2652
200706211,2/17/2020 0:00,2/16/2020 0:00,2350,7,Wilshire,734,2,624,BATTERY - SIMPLE ASSAULT,444,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6000 W  6TH                          ST,,34.0677,-118.3548
200514277,9/17/2020 0:00,9/17/2020 0:00,2255,5,Harbor,558,2,901,VIOLATION OF RESTRAINING ORDER,1813 2000 2038,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901,,,,200 W  AMAR                         ST,,33.7478,-118.2822
200506268,2/22/2020 0:00,2/22/2020 0:00,1900,5,Harbor,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440,624,,,PACIFIC COAST,VERMONT,33.7926,-118.3043
200119908,10/24/2020 0:00,10/23/2020 0:00,2330,1,Central,185,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,0,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,1000 S  BROADWAY,,34.0406,-118.2578
200206940,2/27/2020 0:00,2/27/2020 0:00,1255,2,Rampart,216,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0202 1309 1310 0906 0302 1100 0430,28,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,BELLEVUE                     AV,CORONADO                     ST,34.0751,-118.2717
200709456,5/20/2020 0:00,5/20/2020 0:00,1250,7,Wilshire,773,1,330,BURGLARY FROM VEHICLE,1300 1309 1607 0344 0326,53,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,1800 S  COCHRAN                      AV,,34.0443,-118.3538
201014375,10/24/2020 0:00,10/23/2020 0:00,2330,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1420,0,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,6800    RESEDA                       BL,,34.1939,-118.536
200117110,8/28/2020 0:00,5/1/2020 0:00,100,1,Central,154,1,121,"RAPE, FORCIBLE",0537 0527 1814 0522 0516 2000 1206 2001 0913,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,500 S  MAIN                         ST,,34.0465,-118.2488
200610130,5/11/2020 0:00,5/11/2020 0:00,1130,6,Hollywood,645,1,210,ROBBERY,0325 0601 0104 0400 0945 1822,0,X,X,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,7000 W  SUNSET                       BL,,34.098,-118.3416
200714035,9/20/2020 0:00,9/1/2020 0:00,1,7,Wilshire,715,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300 0385,70,F,W,101,STREET,,,IC,Invest Cont,331,,,,400 N  ALTA VISTA                   BL,,34.0783,-118.3474
200210863,6/1/2020 0:00,6/1/2020 0:00,1525,2,Rampart,235,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2200    VALLEY                       ST,,34.0653,-118.2725
200911839,7/2/2020 0:00,6/26/2020 0:00,1200,9,Van Nuys,974,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,36,M,W,101,STREET,,,IC,Invest Cont,331,,,,4600    WILLIS                       AV,,34.1545,-118.4552
200615995,9/28/2020 0:00,9/27/2020 0:00,35,6,Hollywood,646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,6600 W  SUNSET                       BL,,34.098,-118.3335
200200760,7/7/2020 0:00,7/7/2020 0:00,1620,2,Rampart,241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0334 0445 0416 1822 1218 0429 1223 0400,45,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,6TH                          ST,BENTON                       WY,34.0628,-118.2821
201115543,11/8/2020 0:00,11/8/2020 0:00,1500,11,Northeast,1183,1,330,BURGLARY FROM VEHICLE,0344 1612,42,M,W,101,STREET,,,IC,Invest Cont,330,,,,1600 N  ALVARADO                     ST,,34.0834,-118.2599
200320615,11/18/2020 0:00,11/11/2020 0:00,2300,3,Southwest,327,1,480,BIKE - STOLEN,0344 1822,22,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480,,,,2600    ORCHARD                      AV,,34.0303,-118.2874
200200724,6/5/2020 0:00,6/4/2020 0:00,1850,2,Rampart,202,2,624,BATTERY - SIMPLE ASSAULT,0913 0554 0508 0602 2001,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,4300    NORMAL                       AV,,34.0888,-118.2881
201007153,3/12/2020 0:00,3/12/2020 0:00,640,10,West Valley,1001,2,888,TRESPASSING,1822 2004,45,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,888,,,,19500    INGOMAR                      ST,,34.212,-118.5579
201308239,3/16/2020 0:00,2/28/2020 0:00,2300,13,Newton,1333,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 0329,62,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,745,,,,1000 E  28TH                         ST,,34.0175,-118.2574
200506936,3/9/2020 0:00,3/8/2020 0:00,1830,5,Harbor,506,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WESTERN                      AV,221ST                        ST,33.8268,-118.309
201217850,8/4/2020 0:00,8/4/2020 0:00,1000,12,77th Street,1249,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000 1814 0913,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6700 S  FIGUEROA                     ST,,33.9786,-118.2827
200310566,4/25/2020 0:00,4/25/2020 0:00,950,3,Southwest,356,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 0344 1822,37,M,B,402,MARKET,,,IC,Invest Cont,440,,,,1700 W  JEFFERSON                    BL,,34.0256,-118.3061
201222029,10/4/2020 0:00,10/4/2020 0:00,1800,12,77th Street,1268,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 1813 2000 2002,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,100 E  84TH                         PL,,33.9619,-118.2717
201211083,4/17/2020 0:00,4/16/2020 0:00,1700,12,77th Street,1209,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLOWER                       ST,49TH                         ST,33.9983,-118.2813
201209876,3/27/2020 0:00,3/27/2020 0:00,1650,12,77th Street,1263,1,210,ROBBERY,,0,M,W,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,2000 W  80TH                         ST,,33.9664,-118.3134
201009044,5/15/2020 0:00,5/13/2020 0:00,1315,10,West Valley,1049,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 1606,0,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,16800    BURBANK                      BL,,34.1718,-118.4993
201110399,6/13/2020 0:00,6/11/2020 0:00,1700,11,Northeast,1145,1,330,BURGLARY FROM VEHICLE,385,34,F,O,101,STREET,,,IC,Invest Cont,330,,,,2400 N  ALVARADO                     ST,,34.097,-118.2518
201307829,3/9/2020 0:00,2/28/2020 0:00,1600,13,Newton,1309,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,900    MATEO                        ST,,34.0326,-118.2322
200311518,5/18/2020 0:00,5/14/2020 0:00,1900,3,Southwest,373,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329 1612 1202,65,M,B,101,STREET,,,IC,Invest Cont,520,,,,3900    HUBERT                       AV,,34.0142,-118.3281
200304274,1/5/2020 0:00,1/4/2020 0:00,2030,3,Southwest,377,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311 1202,60,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1200    BROWNING                     BL,,34.0121,-118.2968
200119934,10/24/2020 0:00,10/24/2020 0:00,645,1,Central,128,2,354,THEFT OF IDENTITY,377,49,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 E  1ST                          ST,,34.0512,-118.2419
200814436,9/23/2020 0:00,9/23/2020 0:00,1100,8,West LA,885,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10200    CRESTA                       DR,,34.0417,-118.4041
200316872,9/4/2020 0:00,9/3/2020 0:00,900,3,Southwest,392,1,330,BURGLARY FROM VEHICLE,1822 1601 0344 0386 1300,38,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5100    CRENSHAW                     BL,,33.9967,-118.3306
200911119,6/16/2020 0:00,6/15/2020 0:00,2300,9,Van Nuys,906,1,330,BURGLARY FROM VEHICLE,344,37,M,O,101,STREET,,,IC,Invest Cont,330,,,,14200    LEADWELL                     ST,,34.2041,-118.4425
201212066,5/3/2020 0:00,5/3/2020 0:00,1235,12,77th Street,1252,2,437,RESISTING ARREST,1309,0,X,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,437,,,,FLORENCE                     AV,VAN NESS                     AV,33.9746,-118.3177
200410047,6/22/2020 0:00,2/1/2020 0:00,1,4,Hollenbeck,429,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5400    SHELLEY                      ST,,34.0912,-118.1624
200312493,6/10/2020 0:00,5/25/2020 0:00,1500,3,Southwest,374,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,3800    3RD                          AV,,34.0183,-118.3204
200513373,8/25/2020 0:00,8/11/2020 0:00,246,5,Harbor,564,1,310,BURGLARY,0344 0321,0,X,X,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,310,,,,200 W  6TH                          ST,,33.7387,-118.2814
201220752,9/16/2020 0:00,9/16/2020 0:00,1230,12,77th Street,1259,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2004 1820 0913 0329 1202,62,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,700 E  73RD                         ST,,33.9739,-118.263
200318436,10/5/2020 0:00,10/5/2020 0:00,2250,3,Southwest,361,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 0913 0361 0603,29,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,4800    COLISEUM                     ST,,34.0183,-118.3504
